Alcoholic Beverages,Animal Products,"Fish, Seafood",Stimulants,Sugar & Sweeteners,Vegetal Products,Obesity,Confirmed,Deaths,Recovered
2.0662,13.6048,0.3339,0.4686,5.9591,36.3883,19.4,1.196634225,0.030961071,0.555616383
3.2929,15.3469,0.6893,0.0071,1.737,34.6522,19.3,1.187881903,0.0798184,1.03716521
0.287,8.4754,1.3901,0.2042,2.6816,41.5224,25.6,1.184534935,0.019831998,1.081241656
4.4105,15.1527,0.9656,0.0248,3.2266,34.8456,28.4,1.066235758,0.094819707,0.794459747
0.7037,9.6312,0.7615,0.1979,2.0832,40.3673,27.3,1.065501009,0.036348352,0.821923336
2.1919,19.1598,0.2393,0.1319,1.456,30.8394,21.3,1.04096199,0.014291053,0.901158445
0,12.9962,1.0369,0.205,2.8571,37.0038,35,1.032290745,0.017576553,1.006272652
4.1704,6.7984,1.4348,0.0903,4.7051,43.1917,26.5,0.960330579,0.019504132,0.890578512
0.3318,5.4355,0.205,0.0319,0.547,44.5576,3.8,0.855420723,0.00602747,0.824776637
3.7939,21.1992,2.7466,0.4819,2.2652,28.7933,25,0.852626694,0.00781511,0.334100613
5.4716,9.6094,1.0164,0.0888,3.9848,40.38,15,0.809878001,0.007359307,0.67682015
1.8708,9.1155,1.7011,0.0742,3.2325,40.8722,19.2,0.796188056,0.020584498,0.696060991
1.7037,10.3765,0.2807,0.2872,5.3058,39.624,18.8,0.746673309,0.026286948,0.680643197
6.2239,7.4118,0.3643,0.0648,3.1796,42.5816,13.5,0.727536232,0.013949275,0.629710145
0.1959,11.3357,0.6499,0.0753,1.7471,38.6568,3.8,0.724722877,0.010505821,0.694081423
2.1651,12.888,0.573,0.2649,3.526,37.1029,22.7,0.688458571,0.019796328,0.617018979
4.5004,26.8865,1.5306,0.545,1.8388,23.1132,24.9,0.623024055,0.009477302,0.470247784
4.2717,14.4486,0.3551,0.1336,4.7857,35.5491,16.1,0.605308589,0.00172637,0.501812689
0.3778,5.5215,0.4276,0.1309,4.2005,44.4582,12.2,0.587044534,0.006174089,0.575910931
2.4881,12.7835,2.3299,0.0899,5.62,37.2145,19.7,0.517823229,0.009130752,0.475018262
1.5187,4.1199,2.3033,0.0073,2.5939,45.8801,10.6,0.481904762,0.008095238,0.457142857
2.4636,11.9958,1.8692,0.1677,4.6889,38.0023,24.4,0.445674617,0.010395158,0.341011036
3.5664,17.8865,0.6058,0.6169,3.4102,32.1076,28.9,0.437751345,0.00382328,0.284338714
1.9716,6.7108,2.4506,0.5399,2.3774,43.2905,6,0.425004335,0.008263294,0.39285095
6.1881,8.1825,2.2578,0.0212,1.2508,41.8004,13.4,0.424428507,0.002868669,0.417301658
4.9612,6.1258,2.3945,0.0171,1.3907,43.8709,8.4,0.414153679,0.012196448,0.34378398
2.5952,14.7565,0.9456,0.1479,3.4106,35.2416,25.2,0.388357479,0.003511957,0.368228312
0.8948,12.6354,5.3482,0.1012,3.903,37.3632,15.3,0.306024831,0.001360544,0.247396358
0.0031,5.1926,2.5221,0.0529,0.9285,44.8033,3.4,0.298041918,0.004344882,0.263054373
0.0055,15.0193,1.0025,0.3677,4.3166,34.9779,11.3,0.282107527,0.006473118,0.204086022
0.0794,6.2575,3.9386,0.0406,1.8481,43.7438,6.9,0.254964506,0.007576756,0.20754474
0.6835,14.4463,0.1218,0.0644,0.5796,35.554,15.3,0.223725639,0.001790835,0.215795634
0.2711,9.6334,0.2416,0.2216,1.8342,40.3651,26.6,0.218696034,0.006098248,0.146035575
0.0085,22.2758,0.1831,0.5258,2.6707,27.7226,7.8,0.211470082,0.004414321,0.189625238
1.9664,11.4394,0.4329,0.223,1.8098,38.5589,6,0.178282394,0.003086235,0.143326857
0.9444,2.8956,1.4992,0.0053,0.8128,47.1041,9.7,0.173922698,0.00107167,0.169848421
4.044,15.3194,3.9283,0.3731,2.2055,34.6776,4.4,0.167320806,0.002355379,0.138705375
2.8419,10.1417,3.9197,0.2719,4.1176,39.8291,8.7,0.156847331,0.005088953,0.151386016
0.0014,9.4341,0.035,0.3078,1.3489,40.5645,4.5,0.130124846,0.005461365,0.103676017
0.0722,6.7374,1.5844,0.0863,1.7984,43.2622,31.1,0.127965438,0.007202167,0.107609893
3.4135,6.0914,0.2383,0.0363,2.2079,43.8988,13.5,0.127217554,0.002380952,0.06844071
2.4603,4.9295,0.1666,0.0167,0.7893,45.0666,8.2,0.126984951,0.002335236,0.123819408
3.565,12.4976,3.275,0.1721,4.3344,37.5167,24.8,0.120209059,0.002439024,0.101393728
5.5436,21.4175,1.4264,0.2928,2.5364,28.5806,30.4,0.109784888,0.003525666,0.099883513
0.3209,5.3434,2.0588,0.1161,2.0941,44.6423,7.4,0.108695652,0.002275442,0.099988055
4.8669,11.8174,3.4396,0.0945,2.4835,38.181,4.9,0.105772388,0.001492826,0.073478689
2.4543,5.2956,0.0608,0.2957,1.317,44.6989,3.6,0.105641512,0.001637718,0.092976609
5.736,6.0197,1.6924,0.0618,1.5632,43.9789,6.5,0.104623586,0.002072454,0.09810705
1.7435,6.9032,0.8041,0.2008,0.7022,43.0942,6.3,0.102443064,0.001304348,0.039834369
5.156,2.933,1.3206,0.0234,0.6479,47.067,9.5,0.098793142,0.001684337,0.093585984
2.0589,10.0096,0.3368,0.0657,3.1617,39.9895,26.7,0.095000443,0.00123216,0.083130928
1.7194,13.1538,0.6557,0.005,5.7021,36.8356,21.8,0.090827774,0.002486355,0.064053972
4.0552,8.1489,0.5518,0.1494,4.6485,41.8526,12.3,0.086025701,0.002280832,0.069393797
1.2733,3.5986,0.5064,0.3801,2.0961,46.3997,20.5,0.085986144,0.002052092,0.07377883
0,13.1178,0.1018,0.1502,3.1231,36.8813,7.4,0.05317339,0.003347853,0.030842208
5.8087,4.9278,1.7707,0.0508,1.8495,45.0722,6.8,0.052361478,0.001208413,0.029915134
1.0338,3.7603,0.7764,0.0132,1.1236,46.2383,8.6,0.035172005,0.001640965,0.027797548
2.8904,10.1637,0.7543,0.0614,0.8811,39.8262,7.1,0.031805837,0.001160437,0.019594094
0.0364,5.7874,0.524,0.2199,5.0468,44.2126,14.1,0.007014015,0.002031784,0.004640247
